employee_code,work_year,experience_cate,employment_cate,category,job_title,salary_in_usd,remote_ratio,company_cate,company_loc,employee_loc,work_for_home
95020118,2023,senior-level,full_time,Data Scientist,Data Scientist,85000,100,medium,United States,United States,Yes
c9dba0f1,2023,senior-level,full_time,Data Scientist,Data Scientist,85000,100,medium,United States,United States,Yes
75c678ec,2023,mid-level,full_time,Data Scientist,Data Scientist,85000,0,medium,United States,United States,Yes
8ba8ff52,2023,senior-level,full_time,Data Engineer,Data Architect,104584,0,medium,United Kingdom,United Kingdom,Yes
d25b90b4,2023,senior-level,full_time,Data Engineer,Data Engineer,85000,0,medium,United States,United States,Yes
f551f7c3,2023,mid-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
158cb2c1,2023,entry-level,full_time,Data Engineer,Data Engineer,85000,0,medium,United States,United States,Yes
b8bef652,2023,entry-level,full_time,Data Analyst,Data Analyst,85000,100,medium,United States,United States,Yes
897a191c,2023,entry-level,full_time,Data Engineer,Data Engineer,85000,0,medium,United States,United States,Yes
3b94dfc1,2023,entry-level,full_time,Data Engineer,Data Engineer,85000,0,medium,United States,United States,Yes
fdd7e78e,2023,entry-level,full_time,Data Engineer,Data Engineer,85000,0,medium,United States,United States,Yes
5c156015,2023,mid-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
f4a12062,2023,entry-level,full_time,Data Analyst,Data Analyst,85000,100,medium,United States,United States,Yes
9a757035,2023,mid-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
2311bbe3,2023,senior-level,full_time,AI,Data Analytics Specialist,85000,0,medium,United States,United States,Yes
5f6b7af0,2023,mid-level,full_time,Data Engineer,Data Engineer,104584,0,medium,United Kingdom,United Kingdom,Yes
3fd14926,2023,entry-level,full_time,Data Analyst,Data Analyst,85000,100,medium,United States,United States,Yes
2d11dbce,2023,senior-level,full_time,Data Analyst,Data Analyst,85000,100,medium,United States,United States,Yes
00534eef,2023,senior-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
079f1e0a,2022,entry-level,full_time,Data Scientist,Data Scientist,85000,0,medium,United States,United States,Yes
9ec02c05,2023,entry-level,full_time,Data Analyst,Data Analyst,85000,100,medium,United States,United States,Yes
1aac421a,2023,mid-level,full_time,AI,Research Scientist,85000,0,medium,United States,United States,Yes
89d95fec,2023,senior-level,full_time,Data Engineer,Data Engineer,85000,100,medium,United States,United States,Yes
aaaa0365,2023,senior-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
10bada3e,2022,entry-level,full_time,Data Engineer,Data Engineer,85000,0,medium,United States,United States,Yes
87e05720,2022,mid-level,full_time,Data Engineer,Analytics Engineer,104663,0,medium,United Kingdom,United Kingdom,Yes
2c36d8db,2022,mid-level,full_time,AI,Machine Learning Engineer,104663,0,medium,United Kingdom,United Kingdom,Yes
c1b58c26,2022,mid-level,full_time,Data Scientist,Data Scientist Lead,89306,50,large,Austria,Austria,Yes
91bda290,2022,mid-level,full_time,Data Scientist,Data Scientist,85000,100,medium,United States,United States,Yes
bd90a44d,2022,mid-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
2820bc19,2022,mid-level,full_time,Data Engineer,Analytics Engineer,85000,100,medium,United States,United States,Yes
a92c7697,2022,senior-level,full_time,Data Engineer,Data Engineer,85000,100,medium,United States,United States,Yes
34ee4d11,2022,senior-level,full_time,Data Engineer,Data Engineer,85000,100,medium,United States,United States,Yes
91fe70cd,2022,senior-level,full_time,Data Engineer,Data Engineer,85000,100,medium,United States,United States,Yes
570bd3ac,2022,mid-level,full_time,Data Scientist,Data Scientist,89306,0,medium,Netherlands,Netherlands,Yes
069ff57b,2022,senior-level,full_time,Data Engineer,Data Engineer,85000,100,medium,United States,United States,Yes
fbc11db1,2022,senior-level,full_time,AI,Machine Learning Engineer,85000,100,medium,United States,United States,Yes
2b106d8c,2022,mid-level,full_time,Data Engineer,Data Engineer,104663,0,medium,United Kingdom,United Kingdom,Yes
70dbe8cd,2022,mid-level,full_time,Data Analyst,Data Analyst,85000,0,medium,Canada,Canada,Yes
7c2fa31d,2022,senior-level,full_time,AI,Research Scientist,89306,50,large,France,France,Yes
13e964cf,2021,executive-level,full_time,Data Managers,Head of Data Science,85000,0,medium,Russian Federation,Russian Federation,Yes
f45da2e6,2020,senior-level,full_time,Data Engineer,Big Data Engineer,109024,50,medium,United Kingdom,United Kingdom,Yes
aa1f810f,2021,entry-level,full_time,AI,Machine Learning Engineer,85000,100,small,Germany,Netherlands,No
e575d768,2020,mid-level,full_time,Data Analyst,Data Analyst,85000,100,large,United States,United States,Yes
